Pass-Up ID,Time,Route Number,Route Destination,stop_id
3557888,12/15/2022 10:10:57 PM,BLUE,University of Manitoba,10611
3557826,12/15/2022 05:50:40 PM,14,Via Dakota,10297
3557807,12/15/2022 05:19:45 PM,15,Airport Via Wellington,30248
3557804,12/15/2022 05:19:05 PM,15,Airport Via Wellington,30248
3557782,12/15/2022 05:03:36 PM,15,To Church,10581
3557776,12/15/2022 05:00:06 PM,14,Via Paddington,10501
3557774,12/15/2022 04:55:33 PM,BLUE,to St. Norbert,10159
3557766,12/15/2022 04:52:02 PM,19,Via Autumnwood,10639
3557765,12/15/2022 04:51:41 PM,77,To Kildonan Place,30816
3557762,12/15/2022 04:46:12 PM,55,Via Meadowood,10159
3557748,12/15/2022 04:35:24 PM,14,Via Dakota,10495
3557746,12/15/2022 04:30:36 PM,BLUE,to St. Norbert,10611
3557729,12/15/2022 03:59:19 PM,45,To Downtown,10633
3557725,12/15/2022 03:51:17 PM,55,Via Dakota,50271
3557724,12/15/2022 03:50:07 PM,15,To Inkster,10469
3557721,12/15/2022 03:45:33 PM,14,To Ellice,50268
3557716,12/15/2022 03:39:09 PM,47,To University of Manitoba,60155
3557707,12/15/2022 03:34:26 PM,90,To North Transcona,40507
3557699,12/15/2022 03:27:33 PM,11,Via Donwood,10547
3557690,12/15/2022 03:20:58 PM,11,Via Donwood,10131
3557678,12/15/2022 03:11:11 PM,15,Airport Via Flight Rd.,10543
3557674,12/15/2022 02:54:42 PM,77,To Kildonan Place,20005
3557670,12/15/2022 02:50:22 PM,55,Via Dakota,50271
3557666,12/15/2022 02:45:04 PM,55,Via Dakota,10159
3557551,12/15/2022 08:30:21 AM,32,To Downtown,30034
3557549,12/15/2022 08:21:17 AM,24,To Unicity,20182
3557547,12/15/2022 08:14:48 AM,47,Via Regent,60153
3557545,12/15/2022 08:10:24 AM,60,To Downtown,60146
3557544,12/15/2022 08:09:50 AM,BLUE,To Downtown,61206
3557541,12/15/2022 08:00:32 AM,17,To Misericordia Health Ct,30265
3557538,12/15/2022 07:55:16 AM,BLUE,To Downtown,60099
3557526,12/15/2022 07:34:41 AM,BLUE,To Downtown,61212
3557487,12/14/2022 07:56:45 PM,11,Via Rothesay,10573
3557470,12/14/2022 06:41:41 PM,11,Via Crestview,10546
3557421,12/14/2022 05:01:07 PM,28,To Downtown,10406
3557413,12/14/2022 04:53:41 PM,24,To Unicity,10549
3557411,12/14/2022 04:52:41 PM,19,Via Autumnwood,10413
3557410,12/14/2022 04:51:36 PM,22,To St.Charles,10545
3557401,12/14/2022 04:39:30 PM,18,To Corydon & Edgeland,10704
3557399,12/14/2022 04:38:09 PM,BLUE,to St. Norbert,10611
3557365,12/14/2022 03:55:57 PM,BLUE,to St. Norbert,10639
3557358,12/14/2022 03:48:54 PM,47,To University of Manitoba,60151
3557355,12/14/2022 03:45:48 PM,47,Via Regent,10634
3557350,12/14/2022 03:43:37 PM,90,To North Transcona,40308
3557349,12/14/2022 03:43:09 PM,60,To University of Manitoba,60239
3557159,12/14/2022 09:30:01 AM,14,To Ellice,50551
3557150,12/14/2022 09:04:14 AM,66,To Unicity,10781
3557122,12/14/2022 08:37:05 AM,BLUE,To Downtown,61202
3557119,12/14/2022 08:26:12 AM,672,University of Manitoba,61251
3557118,12/14/2022 08:25:51 AM,672,University of Manitoba,61249
3557117,12/14/2022 08:25:46 AM,672,University of Manitoba,61249
3557107,12/14/2022 08:09:16 AM,60,To Downtown,60149
3557079,12/14/2022 06:17:23 AM,49,To North Transcona,10804
3556980,12/13/2022 05:21:41 PM,BLUE,To Downtown,11034
3556949,12/13/2022 04:46:09 PM,22,To St.Charles,10545
3556946,12/13/2022 04:44:04 PM,BLUE,to St. Norbert,10641
3556944,12/13/2022 04:42:38 PM,BLUE,to St. Norbert,10159
3556930,12/13/2022 04:30:48 PM,BLUE,to St. Norbert,10639
3556921,12/13/2022 04:24:15 PM,14,To Ellice,10528
3556883,12/13/2022 03:53:52 PM,24,To Downtown,20143
3556858,12/13/2022 03:40:46 PM,90,To North Transcona,40308
3556850,12/13/2022 03:35:22 PM,29,Beaumont,10106
3556834,12/13/2022 03:15:12 PM,BLUE,To Downtown,61208
3556535,12/13/2022 08:11:04 AM,60,To Downtown,60151
3556521,12/13/2022 07:37:20 AM,BLUE,To Downtown,61207
3556516,12/13/2022 07:16:45 AM,BLUE,to St. Norbert,61208
3556424,12/12/2022 04:52:46 PM,BLUE,to St. Norbert,11028
3556407,12/12/2022 04:41:42 PM,55,Via Meadowood,10159
3556397,12/12/2022 04:32:16 PM,11,Via Glenway,10629
3556376,12/12/2022 04:20:40 PM,BLUE,to St. Norbert,11030
3556350,12/12/2022 03:47:30 PM,60,To University of Manitoba,60244
3556342,12/12/2022 03:44:03 PM,21,To Downtown,20208
3556325,12/12/2022 03:38:07 PM,47,To University of Manitoba,60243
3556026,12/12/2022 08:05:53 AM,BLUE,To Downtown,11028
3556022,12/12/2022 08:02:55 AM,BLUE,To Downtown,11032
3556019,12/12/2022 07:59:32 AM,BLUE,To Downtown,61202
3556018,12/12/2022 07:57:24 AM,BLUE,To Downtown,61204
3556017,12/12/2022 07:55:28 AM,BLUE,To Downtown,61206
3556016,12/12/2022 07:53:49 AM,BLUE,To Downtown,61209
3556013,12/12/2022 07:49:37 AM,BLUE,To Downtown,11032
3556008,12/12/2022 07:38:46 AM,BLUE,To Downtown,61216
3555970,12/11/2022 06:53:31 PM,11,Via Rothesay,10572
3555967,12/11/2022 06:28:46 PM,11,Via Glenway,10562
3555928,12/11/2022 05:34:26 PM,11,Via Donwood,10564
3555906,12/11/2022 04:59:41 PM,11,Via Glenway,10568
3555870,12/11/2022 04:16:59 PM,77,To Kildonan Place,20006
3555843,12/11/2022 03:49:14 PM,11,To Polo Park,10545
3555619,12/10/2022 08:30:00 PM,11,Via Glenway,10573
3555602,12/10/2022 07:24:19 PM,11,Via Donwood,10574
3555588,12/10/2022 06:27:37 PM,47,To University of Manitoba,40470
3555489,12/10/2022 04:06:18 PM,11,Via Glenway,10547
