,stop_route_id,average_boardings
2816,10562 11,976.043
6672,60675 BLUE,910.7
2523,60673 75,862.5
7232,10611 BLUE,809.6856
2931,10545 11,595.4714
2849,60674 60,564.143
2203,10823 77,544.4714
681,10831 BLUE,493.0286
1374,61212 BLUE,491.8856
4676,62015 677,460.157
1450,61104 BLUE,453.3856
278,10629 47,443.81440000000003
2077,60674 47,436.9572
706,40789 75,419.6714
3917,10822 78,409.88570000000004
4993,11029 BLUE,401.8001
3240,60673 78,398.3714
3996,10132 BLUE,396.1572
3577,10545 21,390.6999
1966,10611 18,382.6428
1911,10629 11,381.1998
2082,10543 11,369.7428
5755,10562 21,362.9713
120,40786 47,362.2713
2873,10583 11,359.17150000000004
4806,10707 19,355.7285
1772,61213 BLUE,352.91429999999997
5367,60069 BLUE,342.4288
2735,60106 671,341.2857
221,10619 16,339.12850000000003
5175,10880 74,334.9572
5327,40788 44,334.1428
3447,10134 BLUE,326.9285
1985,10542 11,325.043
2701,10635 11,323.8857
3975,10629 18,321.9856
4808,10707 15,321.8572
2844,10541 11,320.9715
1948,40787 77,316.14279999999997
5427,10561 21,315.8001
1914,10582 11,315.59999999999997
1938,60106 672,314.12850000000003
4513,60106 662,311.6999
3995,10171 18,311.2
2076,60674 36,309.6428
4421,50402 75,306.8284
2773,10611 16,299.7
1230,10619 18,298.81440000000003
69,10611 17,289.2143
176,11029 66,285.77139999999997
3525,10619 60,282.0715
4542,10615 BLUE,278.5
1497,40186 47,275.7
2741,10381 11,275.64300000000003
2862,10628 47,275.2857
3661,60105 60,273.1428
519,60105 BLUE,266.4715
5602,30379 18,263.40000000000003
3644,10824 66,262.1715
5386,61203 BLUE,258.2142
5214,10707 14,257.8286
5583,10496 14,257.32869999999997
2442,10271 71,252.2144
245,10638 19,251.48579999999998
8556,60673 74,251.3143
1067,10171 16,249.37140000000002
518,60105 75,249.05720000000002
4880,30779 17,246.5
4677,50404 75,245.67139999999998
5474,60408 66,245.1571
1143,10618 BLUE,243.2429
2708,10629 16,241.6287
3535,10638 55,239.75719999999998
2064,10543 19,233.87140000000002
1216,10541 21,231.7001
3083,40195 47,231.4999
4797,10159 BLUE,231.4571
3429,61202 BLUE,230.55710000000002
677,61204 BLUE,229.1715
1464,60105 671,228.57129999999998
6887,61206 BLUE,227.97150000000002
816,20304 24,225.1428
7327,10707 33,224.8001
2863,10581 11,224.55710000000002
517,60105 47,223.0999
1597,10634 11,221.71439999999998
1244,10638 14,221.4287
2893,40421 11,219.8856
2066,10541 19,217.74280000000002
6843,10543 15,216.1143
1110,10542 19,216.0285
3593,10580 11,213.55700000000002
7889,61216 BLUE,212.58579999999998
1667,61210 BLUE,209.8858
23,10642 BLUE,206.9143
117,10579 11,205.7001
1238,10561 11,203.4142
2881,10669 66,202.743
1462,60105 672,199.8428
6083,10543 21,199.0143
6103,20070 15,198.643
7041,10561 24,198.11430000000001
2123,10629 15,197.12869999999998
2200,10706 33,197.00019999999998
6350,10611 44,195.7145
7878,10546 21,195.25709999999998
7234,10615 18,194.59990000000002
4697,60105 662,193.1858
5407,40423 11,192.0858
2977,10825 79,191.5285
1778,30261 16,189.21450000000002
3972,61205 BLUE,188.8286
5374,10546 11,188.8
1231,10541 15,188.5857
1968,10542 15,188.1
6088,10543 14,187.88569999999999
4145,10545 24,185.57150000000001
100,10670 66,185.3857
2,10641 BLUE,185.0143
2774,10542 14,184.2714
4731,10454 15,183.0857
1505,40772 47,181.6856
4310,61211 BLUE,181.1285
6852,10582 55,180.2
252,10583 19,179.9569
8,10582 15,179.0856
4036,10067 16,178.7574
7194,60911 75,178.5
1028,10629 44,178.1714
6335,10068 18,177.81439999999998
1269,10583 15,177.3858
5371,10542 21,177.2714
2085,10581 19,176.24290000000002
6601,10627 47,174.97150000000002
2838,10581 14,172.6857
6869,10061 16,172.3572
205,10541 14,171.8287
7227,10625 47,170.4143
7138,10172 16,170.2286
3341,61256 677,168.8572
5592,10159 19,168.70000000000002
3536,10638 47,168.3285
5027,10583 14,167.8429
4290,20435 77,167.7715
1048,10582 19,167.51420000000002
5252,60137 676,165.5285
98,10614 33,165.44279999999998
2619,10576 11,165.24269999999999
4113,10583 55,161.1001
8271,10637 21,160.8429
2121,10616 BLUE,160.2144
727,10707 38,158.8429
800,10573 11,158.3713
1491,62004 BLUE,157.74280000000002
3616,61214 BLUE,157.65720000000002
3451,10615 16,157.5285
1905,10826 20,157.50009999999997
2506,20088 14,156.75709999999998
2300,10821 12,156.52870000000001
3598,10720 12,155.8429
4028,30893 71,153.8713
3513,30780 77,151.8998
6846,10704 18,151.8002
2433,11027 BLUE,151.60000000000002
4960,60029 BLUE,151.2142
1915,10582 14,151.1286
2794,10498 14,150.9572
1920,10635 47,150.457
4776,10881 24,149.757
304,10552 11,148.98579999999998
2521,50249 19,148.7571
1463,60105 74,148.1429
1299,10422 19,147.4571
5618,30071 18,146.843
2025,60140 60,146.3001
1021,10635 15,145.9143
2119,50570 14,145.65720000000002
2186,10066 18,143.9286
255,10628 18,143.61419999999998
4089,61215 BLUE,143.47129999999999
1418,61207 BLUE,142.6284
1227,10581 55,142.5997
1967,10614 18,140.7429
4133,20320 19,140.3001
5250,40784 43,140.1287
2167,50884 55,139.8713
1593,11031 BLUE,139.34279999999998
2835,10637 11,138.6858
8161,10552 21,138.2573
306,50407 75,138.0572
3459,10548 11,137.9857
2824,10562 12,137.2856
9587,20264 21,136.9715
1767,60096 60,136.3429
3421,60138 676,136.0429
6607,10874 17,135.97140000000002
2772,11030 47,135.5572
5109,11032 BLUE,135.0284
2877,10704 16,134.7714
1607,10172 18,134.61430000000001
8222,30499 16,134.0999
6092,30890 77,132.9715
2050,10562 24,132.5286
2285,60105 78,132.44279999999998
537,62014 29,132.0714
3786,10631 18,131.5427
2652,61256 74,131.4715
5599,20178 24,131.20010000000002
4093,10581 15,131.07150000000001
8018,10562 20,130.7715
6857,60148 47,129.0144
1984,10614 16,128.7284
5915,10159 55,128.6714
720,60146 47,128.6286
6637,50251 19,128.5143
4108,10628 11,128.2429
1129,30090 16,128.1
1701,10573 21,128.0716
2814,10612 18,127.1857
693,10172 60,126.77149999999999
3784,40789 90,125.4286
4613,60032 BLUE,125.3143
4048,10442 29,124.97139999999999
7542,61205 650,124.9286
2737,10171 60,124.857
3781,30043 18,124.6858
3418,10625 19,123.743
2582,30176 16,123.7285
6185,50405 75,123.51429999999999
4172,10577 11,123.40010000000001
5594,10631 16,122.3714
4326,60146 60,122.2715
27,50538 55,122.08590000000001
2801,10599 16,122.07140000000001
2820,60063 672,121.5857
1437,61208 BLUE,121.1714
8593,10541 24,120.7285
1987,10617 60,120.6998
2957,20082 15,120.3714
601,60290 66,120.0428
5066,50252 19,119.9999
3169,10159 14,119.857
4882,50310 75,119.8428
5587,30057 18,119.3571
6345,10625 14,119.3287
4686,40420 11,119.0858
78,60031 BLUE,119.0001
2436,10911 16,118.95739999999999
5379,30893 38,118.9143
1483,20432 19,117.743
1970,60138 60,117.5856
7266,50575 14,117.5143
196,10543 38,117.4856
4994,60095 BLUE,116.7283
3839,30200 16,116.32860000000001
281,10704 44,116.20009999999999
5370,10614 60,114.9286
6608,10579 55,114.8713
5163,60995 74,114.1999
2492,40785 45,114.0143
1102,40428 11,113.3999
1908,10635 18,113.3142
1337,50882 16,113.0001
2005,10615 17,112.77130000000001
1275,10704 17,112.6857
2997,62015 641,112.4429
3592,10066 16,112.34299999999999
4377,60291 66,111.3999
3767,20174 24,111.3143
4320,50206 19,110.42869999999999
5330,60656 BLUE,110.2714
8149,10543 24,110.0428
2046,11029 47,109.8428
684,30279 16,109.7573
2537,30077 18,109.44279999999999
6252,50633 75,108.67150000000001
4549,10618 18,108.243
4933,10635 16,107.4287
1928,30421 18,107.3999
0,61205 642,107.27149999999999
3515,30890 17,106.9428
3140,10567 11,106.9143
103,10617 18,106.7143
899,30248 15,106.2999
3471,50883 55,106.2429
4975,10548 21,106.19990000000001
6048,10546 24,105.9001
2087,10636 47,105.6284
1158,10648 33,105.5715
1360,10720 26,105.55720000000001
4029,10617 16,105.3146
6114,10549 11,105.2286
5911,40196 47,105.02860000000001
8479,20309 66,104.81429999999999
6059,10483 15,103.47149999999999
3170,10159 66,103.2571
2572,10519 14,103.2286
1201,50311 16,103.08579999999999
701,60458 18,103.0431
359,10580 55,102.40010000000001
5401,10612 16,102.0428
1043,10642 66,101.7569
2004,10277 71,101.1141
5376,11028 BLUE,100.957
3176,10631 47,100.89999999999999
