,support,itemsets
731,0.021728145528044467,75 60105
847,0.019454269833249115,BLUE 60675
815,0.01869631126831733,BLUE 10611
746,0.01869631126831733,75 61254
718,0.016927741283476502,75 50402
859,0.01591712986356746,BLUE 61212
741,0.014906518443658413,75 60673
730,0.014401212733703891,75 60103
853,0.013895907023749368,BLUE 61206
839,0.013643254168772108,BLUE 60103
840,0.013137948458817585,BLUE 60105
823,0.013137948458817585,BLUE 10641
860,0.012632642748863061,BLUE 61213
822,0.011116725618999495,BLUE 10639
862,0.010864072764022233,BLUE 61215
814,0.009853461344113188,BLUE 10159
827,0.009348155634158665,BLUE 11029
851,0.009095502779181405,BLUE 61204
824,0.008590197069226882,BLUE 10642
852,0.00833754421424962,BLUE 61205
854,0.00833754421424962,BLUE 61207
538,0.00808489135927236,60 60105
606,0.00808489135927236,66 60521
830,0.007832238504295099,BLUE 11032
720,0.007074279939363315,75 50404
829,0.007074279939363315,BLUE 11031
587,0.006821627084386054,60 61254
857,0.006568974229408792,BLUE 61210
831,0.006568974229408792,BLUE 11033
849,0.00606366851945427,BLUE 61202
863,0.00606366851945427,BLUE 61216
745,0.00606366851945427,75 61253
5,0.005811015664477008,11 10545
858,0.005811015664477008,BLUE 61211
744,0.005811015664477008,75 60911
19,0.0055583628094997475,11 10562
850,0.0055583628094997475,BLUE 61203
736,0.005305709954522486,75 60112
719,0.005053057099545225,75 50403
825,0.004800404244567963,BLUE 11027
725,0.004800404244567963,75 50603
832,0.004800404244567963,BLUE 11034
866,0.004800404244567963,BLUE 61253
740,0.004800404244567963,75 60139
856,0.004547751389590703,BLUE 61209
724,0.004547751389590703,75 50602
6,0.004547751389590703,11 10546
737,0.004547751389590703,75 60113
738,0.004295098534613441,75 60114
776,0.00404244567963618,78 60105
240,0.00404244567963618,21 10546
733,0.00404244567963618,75 60108
813,0.00404244567963618,BLUE 10157
42,0.00404244567963618,11 10629
8,0.0037897928246589186,11 10548
536,0.0037897928246589186,60 60096
678,0.0035371399696816574,672 60106
716,0.003284487114704396,75 50400
826,0.003284487114704396,BLUE 11028
20,0.003284487114704396,11 10563
671,0.003284487114704396,672 60080
638,0.003284487114704396,671 60070
861,0.003284487114704396,BLUE 61214
855,0.003031834259727135,BLUE 61208
703,0.003031834259727135,74 60105
702,0.003031834259727135,74 60096
735,0.003031834259727135,75 60111
7,0.003031834259727135,11 10547
22,0.003031834259727135,11 10565
30,0.003031834259727135,11 10573
9,0.0027791814047498737,11 10549
677,0.0027791814047498737,672 60105
621,0.0027791814047498737,662 60075
