,index,route_direction,severity_factor
0,1,BLUE Downtown,21.12
1,2,BLUE University of Manitoba,13.6071
2,4,BLUE St. Norbert,8.3333
3,0,75 Kildonan Place,7.2444
4,3,75 University of Manitoba,7.1086
5,7,60 University of Manitoba,2.8463
6,9,11 North Kildonan via Rothesay,2.7714
7,8,11 Polo Park,2.3917
8,12,672 Prairie Pointe via Killarney,2.2366
9,5,60 Downtown,1.8767
10,17,36 Health Sciences Centre,1.8335
11,20,672 U. of Manitoba via Killarney,1.8335
12,13,671 U. of Manitoba via Dalhousie,1.4998
13,18,47 University of Manitoba,1.4488
14,19,36 University of Manitoba,1.3397
15,10,78 Polo Park,0.9794
16,16,662 University of Manitoba,0.8822
17,23,24 Downtown,0.7668
18,28,671 Prairie Pointe via Dalhousie,0.714
19,21,47 Transcona via Regent,0.7036
20,29,662 Markham Station,0.6609
21,11,21 St. Charles,0.6562
22,6,66 Unicity,0.6439
23,22,18 Riverbend,0.5474
24,40,78 University of Manitoba,0.5333
25,15,74 University of Manitoba,0.5274
26,37,15 Airport via Wellington,0.4612
27,41,14 South St. Vital via Dakota,0.46
28,27,18 Tuxedo,0.4333
29,39,47 Transcona via Kildare,0.4208
30,26,15 Inkster Park via Inkster,0.3875
31,49,24 Unicity,0.3869
32,33,19 RRC Polytech via Logan,0.3846
33,57,14 Ferry Road,0.3296
34,36,19 Windsor Park via Autumnwood,0.3283
35,24,44 Kildonan Place via London,0.3248
36,45,28 Downtown,0.306
37,14,74 Polo Park,0.3
38,34,54 Downtown,0.2826
39,52,21 Downtown,0.2498
40,50,77 Polo Park,0.2357
41,35,55 St. Vital Centre via Meadowood,0.2132
42,31,49 North Transcona,0.2089
43,25,50 Sage Creek,0.2058
44,32,22 St. Charles,0.1952
45,51,44 Broadway via Louelda,0.1746
46,54,54 South St. Vital,0.1737
47,47,17 Maples,0.1648
48,67,677 Beaumont Station,0.154
49,53,49 Downtown,0.1428
50,38,77 Kildonan Place,0.1266
51,56,66 City Hall,0.1251
52,46,28 Inkster Park,0.1224
53,30,90 North Transcona,0.1213
54,48,19 RRC Polytech via Notre Dame,0.1176
55,55,55 Downtown via Meadowood,0.1092
56,59,33 Downtown,0.1078
57,44,11 Downtown,0.1034
58,72,14 South St. Vital via Paddington,0.1
59,60,36 Maples,0.0944
60,42,35 Amber Trails,0.0816
61,89,29 Beaumont Station,0.075
62,88,649 Whyte Ridge,0.069
63,43,90 Henderson & Whellams,0.0637
64,63,17 Misericordia Health Centre,0.0528
65,85,58 Downtown,0.0483
66,90,29 Logan,0.0454
67,93,32 Downtown,0.0444
68,97,25 Unicity,0.0444
69,91,31 Meadows West,0.0434
70,65,16 Tyndall Park via Burrows,0.04
71,80,41 Glenway,0.0385
72,66,16 Plaza Drive,0.038
73,81,41 Downtown,0.037
74,68,677 Kenaston Common,0.0345
75,62,18 Garden City via Jefferson,0.0341
76,78,38 The Forks,0.0334
77,75,33 Amber Trails via Mapleglen,0.0322
78,94,59 Aldgate,0.0318
79,58,16 Tyndall Park via Manitoba,0.0294
80,64,16 Island Lakes,0.0286
81,61,19 Windsor Park via Drake,0.026
82,73,50 Downtown,0.0256
83,71,12 City Hall,0.0244
84,96,25 Downtown,0.0238
85,83,22 Downtown,0.0238
86,79,40 All Seasons,0.0238
87,86,20 Watt & Leighton,0.0236
88,69,676 Bridgwater Centre,0.0222
89,87,65 Ridgewood,0.0217
90,92,31 Downtown,0.0217
91,74,35 Downtown,0.0204
92,84,24 Polo Park,0.0196
93,95,649 Windermere,0.0185
94,82,43 Assiniboine,0.0182
95,76,45 Downtown via Munroe,0.0169
96,77,44 Broadway via London,0.0137
97,70,11 Crestview,0.0089
