,support,stop_ID,direction
0,0.018948964,60675,BLUE Downtown
1,0.0176857,10611,BLUE St. Norbert
2,0.016927741,50402,75 University of Manitoba
3,0.016422436,60105,75 Kildonan Place
4,0.016169783,61254,75 University of Manitoba
5,0.014906518,61212,BLUE Downtown
6,0.01414856,60673,75 Kildonan Place
7,0.013390601,60103,BLUE Downtown
8,0.013137948,60105,BLUE Downtown
9,0.011622031,61206,BLUE Downtown
10,0.011622031,61213,BLUE University of Manitoba
11,0.011369378,10641,BLUE St. Norbert
12,0.010864073,60103,75 Kildonan Place
13,0.010864073,61215,BLUE University of Manitoba
14,0.010358767,10639,BLUE St. Norbert
15,0.00884285,10159,BLUE St. Norbert
16,0.008084891,60105,60 Downtown
17,0.008084891,60521,66 Unicity
18,0.007579586,10642,BLUE St. Norbert
19,0.00707428,61204,BLUE Downtown
20,0.006821627,61254,60 University of Manitoba
21,0.006821627,50404,75 University of Manitoba
22,0.005811016,11029,BLUE St. Norbert
23,0.005811016,61207,BLUE University of Manitoba
24,0.005558363,11032,BLUE Downtown
25,0.005558363,61202,BLUE Downtown
26,0.005558363,61205,BLUE University of Manitoba
27,0.00530571,61210,BLUE Downtown
28,0.00530571,61253,75 University of Manitoba
29,0.005053057,60911,75 Kildonan Place
30,0.005053057,50403,75 Kildonan Place
31,0.005053057,60105,75 Kildonan Place
32,0.004800404,50603,75 Kildonan Place
33,0.004800404,61253,BLUE University of Manitoba
34,0.004800404,60112,75 University of Manitoba
35,0.004547751,60113,75 University of Manitoba
36,0.004547751,60139,75 University of Manitoba
37,0.004547751,50602,75 University of Manitoba
38,0.004042446,11034,BLUE Downtown
39,0.004042446,60105,78 Polo Park
40,0.003789793,61211,BLUE University of Manitoba
41,0.003789793,60096,60 University of Manitoba
42,0.00353714,11029,BLUE University of Manitoba
43,0.00353714,60106,672 Prairie Pointe via Killarney
44,0.00353714,10545,11 Polo Park
45,0.003284487,11031,BLUE St. Norbert
46,0.003284487,60070,671 U. of Manitoba via Dalhousie
47,0.003031834,60108,75 Kildonan Place
48,0.003031834,10562,11 Glenway
49,0.003031834,60114,75 Kildonan Place
50,0.003031834,60103,75 Kildonan Place
51,0.003031834,60105,74 Polo Park
52,0.003031834,60096,74 University of Manitoba
53,0.003031834,60080,672 Prairie Pointe via Killarney
54,0.003031834,11033,BLUE St. Norbert
55,0.003031834,50400,75 University of Manitoba
56,0.002779181,11027,BLUE St. Norbert
57,0.002779181,60075,662 University of Manitoba
58,0.002779181,61203,BLUE St. Norbert
59,0.002779181,11031,BLUE University of Manitoba
60,0.002779181,60105,672 Prairie Pointe via Killarney
61,0.002779181,10157,BLUE Downtown
62,0.002526529,61254,75 University of Manitoba
63,0.002526529,60105,36 Health Sciences Centre
64,0.002526529,10546,11 Polo Park
65,0.002526529,60140,60 Downtown
66,0.002526529,60113,47 University of Manitoba
67,0.002526529,61209,BLUE University of Manitoba
68,0.002526529,61255,BLUE Downtown
69,0.002526529,61214,BLUE Downtown
70,0.002273876,61203,BLUE University of Manitoba
71,0.002273876,11033,BLUE University of Manitoba
72,0.002273876,61206,BLUE Downtown
73,0.002273876,10629,11 Glenway
74,0.002273876,61208,BLUE Downtown
75,0.002273876,30491,36 University of Manitoba
76,0.002273876,10624,BLUE Downtown
77,0.002273876,61254,672 U. of Manitoba via Killarney
78,0.002273876,61116,60 University of Manitoba
79,0.002273876,60068,671 U. of Manitoba via Dalhousie
80,0.002021223,61207,BLUE St. Norbert
81,0.002021223,60138,75 University of Manitoba
82,0.002021223,20178,24 Downtown
83,0.002021223,60138,47 University of Manitoba
84,0.002021223,10815,36 University of Manitoba
85,0.002021223,60103,78 Polo Park
86,0.002021223,60123,60 University of Manitoba
87,0.002021223,60148,47 University of Manitoba
88,0.002021223,60075,671 U. of Manitoba via Dalhousie
89,0.002021223,61253,60 University of Manitoba
90,0.002021223,10631,18 Riverbend
91,0.002021223,11027,BLUE University of Manitoba
92,0.002021223,60153,60 Downtown
93,0.00176857,60146,60 Downtown
94,0.00176857,60111,75 Kildonan Place
95,0.00176857,50407,75 University of Manitoba
96,0.00176857,60077,662 University of Manitoba
97,0.00176857,10641,BLUE University of Manitoba
98,0.00176857,11032,BLUE Downtown
99,0.00176857,20179,24 Downtown
100,0.00176857,10426,36 University of Manitoba
101,0.00176857,10546,21 Westwood
102,0.00176857,62020,74 University of Manitoba
103,0.00176857,61218,BLUE University of Manitoba
104,0.00176857,50079,50 Sage Creek
105,0.001515917,10545,11 Polo Park
106,0.001515917,10561,11 Polo Park
107,0.001515917,60105,671 Prairie Pointe via Dalhousie
108,0.001515917,11028,BLUE Downtown
