,support,itemsets
1118,0.018948964123294592,BLUE 60675 To Downtown
1063,0.017685699848408287,BLUE 10611 to St. Norbert
934,0.016927741283476502,75 50402 To University of Manitoba
952,0.016422435573521982,75 60105 To Kildonan Place
981,0.01616978271854472,75 61254 To Kildonan Place
1151,0.014906518443658413,BLUE 61212 To Downtown
972,0.01414855987872663,75 60673 To Kildonan Place
1107,0.013390601313794846,BLUE 60103 To Downtown
1109,0.013137948458817585,BLUE 60105 To Downtown
1134,0.011622031328954016,BLUE 61206 To Downtown
1155,0.011622031328954016,BLUE 61213 University of Manitoba
1075,0.011369378473976757,BLUE 10641 to St. Norbert
949,0.010864072764022233,75 60103 To Kildonan Place
1159,0.010864072764022233,BLUE 61215 University of Manitoba
1073,0.010358767054067712,BLUE 10639 to St. Norbert
1061,0.008842849924204144,BLUE 10159 to St. Norbert
737,0.00808489135927236,60 60105 To Downtown
812,0.00808489135927236,66 60521 To Unicity
1077,0.007579585649317837,BLUE 10642 to St. Norbert
1127,0.007074279939363315,BLUE 61204 To Downtown
792,0.006821627084386054,60 61254 To Downtown
937,0.006821627084386054,75 50404 To University of Manitoba
1084,0.005811015664477008,BLUE 11029 to St. Norbert
1137,0.005811015664477008,BLUE 61207 University of Manitoba
1091,0.0055583628094997475,BLUE 11032 To Downtown
1160,0.0055583628094997475,BLUE 61216 To Downtown
1121,0.0055583628094997475,BLUE 61202 To Downtown
1131,0.0055583628094997475,BLUE 61205 University of Manitoba
1145,0.005305709954522486,BLUE 61210 To Downtown
979,0.005305709954522486,75 61253 To Kildonan Place
977,0.005053057099545225,75 60911 To Kildonan Place
935,0.005053057099545225,75 50403 To University of Manitoba
951,0.005053057099545225,75 60105 Speers- Elizabeth
943,0.004800404244567963,75 50603 To University of Manitoba
1166,0.004800404244567963,BLUE 61253 To Downtown
964,0.004800404244567963,75 60112 To University of Manitoba
965,0.004547751389590703,75 60113 To University of Manitoba
970,0.004547751389590703,75 60139 To University of Manitoba
942,0.004547751389590703,75 50602 To University of Manitoba
1097,0.00404244567963618,BLUE 11034 To Downtown
1016,0.00404244567963618,78 60105 Polo Park
1149,0.0037897928246589186,BLUE 61211 University of Manitoba
735,0.0037897928246589186,60 60096 To University of Manitoba
1083,0.0035371399696816574,BLUE 11029 University of Manitoba
889,0.0035371399696816574,672 60106 Prairie Pointe
13,0.0035371399696816574,11 10545 To Polo Park
1090,0.003284487114704396,BLUE 11031 to St. Norbert
845,0.003284487114704396,671 60070 University of Manitoba
957,0.003031834259727135,75 60108 To Kildonan Place
56,0.003031834259727135,11 10562 Via Glenway
967,0.003031834259727135,75 60114 To University of Manitoba
948,0.003031834259727135,75 60103 Speers- Elizabeth
917,0.003031834259727135,74 60105 Polo Park
916,0.003031834259727135,74 60096 University of Manitoba
881,0.003031834259727135,672 60080 University of Manitoba
1094,0.003031834259727135,BLUE 11033 To Downtown
931,0.003031834259727135,75 50400 To University of Manitoba
1079,0.0027791814047498737,BLUE 11027 to St. Norbert
827,0.0027791814047498737,662 60075 University of Manitoba
1126,0.0027791814047498737,BLUE 61203 to St. Norbert
1089,0.0027791814047498737,BLUE 11031 University of Manitoba
888,0.0027791814047498737,672 60105 Prairie Pointe
1059,0.0027791814047498737,BLUE 10157 to St. Norbert
980,0.0025265285497726125,75 61254 Speers- Elizabeth
530,0.0025265285497726125,36 60105 To The Maples
17,0.0025265285497726125,11 10546 To Polo Park
759,0.0025265285497726125,60 60140 To Downtown
641,0.0025265285497726125,47 60113 To University of Manitoba
1143,0.0025265285497726125,BLUE 61209 University of Manitoba
1167,0.0025265285497726125,BLUE 61255 To Downtown
1158,0.0025265285497726125,BLUE 61214 University of Manitoba
1125,0.0022738756947953513,BLUE 61203 University of Manitoba
1095,0.0022738756947953513,BLUE 11033 University of Manitoba
1135,0.0022738756947953513,BLUE 61206 University of Manitoba
131,0.0022738756947953513,11 10629 Via Glenway
1139,0.0022738756947953513,BLUE 61208 To Downtown
524,0.0022738756947953513,36 30491 To U of Manitoba
1070,0.0022738756947953513,BLUE 10624 to St. Norbert
905,0.0022738756947953513,672 61254 Prairie Pointe
786,0.0022738756947953513,60 61116 To Downtown
844,0.0022738756947953513,671 60068 University of Manitoba
1136,0.00202122283981809,BLUE 61207 To Downtown
968,0.00202122283981809,75 60138 To University of Manitoba
449,0.00202122283981809,24 20178 To Downtown
643,0.00202122283981809,47 60138 To University of Manitoba
519,0.00202122283981809,36 10815 To U of Manitoba
1015,0.00202122283981809,78 60103 Polo Park
746,0.00202122283981809,60 60123 To University of Manitoba
651,0.00202122283981809,47 60148 To University of Manitoba
849,0.00202122283981809,671 60075 University of Manitoba
791,0.00202122283981809,60 61253 To Downtown
312,0.00202122283981809,18 10631 To Garden City Centre
1078,0.00202122283981809,BLUE 11027 University of Manitoba
768,0.00202122283981809,60 60153 To Downtown
761,0.0017685699848408287,60 60146 To Downtown
962,0.0017685699848408287,75 60111 To University of Manitoba
941,0.0017685699848408287,75 50407 To University of Manitoba
829,0.0017685699848408287,662 60077 University of Manitoba
1074,0.0017685699848408287,BLUE 10641 University of Manitoba
1092,0.0017685699848408287,BLUE 11032 University of Manitoba
450,0.0017685699848408287,24 20179 To Downtown
514,0.0017685699848408287,36 10426 To U of Manitoba
387,0.0017685699848408287,21 10546 To Westwood
927,0.0017685699848408287,74 62020 University of Manitoba
1164,0.0017685699848408287,BLUE 61218 To Downtown
690,0.0017685699848408287,50 50079 To Sage Creek
15,0.0015159171298635675,11 10545 Via St.Charles
52,0.0015159171298635675,11 10561 Via Glenway
856,0.0015159171298635675,671 60105 Prairie Pointe
1080,0.0015159171298635675,BLUE 11028 To Downtown
882,0.0015159171298635675,672 60081 University of Manitoba
615,0.0015159171298635675,47 40336 To University of Manitoba
