Pass-Up ID,Time,Route Number,Route Destination,stop_id
3559563,2022-12-21 16:39:24,60,To Downtown,60245
3559261,2022-12-20 16:11:13,60,To University of Manitoba,60154
3557545,2022-12-15 08:10:24,60,To Downtown,60146
3557349,2022-12-14 15:43:09,60,To University of Manitoba,60239
3557107,2022-12-14 08:09:16,60,To Downtown,60149
3556535,2022-12-13 08:11:04,60,To Downtown,60151
3556350,2022-12-12 15:47:30,60,To University of Manitoba,60243
3554962,2022-12-09 15:52:08,60,To University of Manitoba,60154
3554205,2022-12-08 08:17:56,60,To Downtown,60144
3553517,2022-12-06 08:11:44,60,To Downtown,60140
3553104,2022-12-05 08:01:40,60,To University of Manitoba,60121
3551948,2022-12-01 15:50:39,60,To Downtown,61117
3551947,2022-12-01 15:50:08,60,To Downtown,60105
3551420,2022-11-30 15:49:32,60,To University of Manitoba,60243
3551399,2022-11-30 15:35:26,60,To University of Manitoba,60243
3551230,2022-11-30 10:08:36,60,To University of Manitoba,60118
3551174,2022-11-30 08:17:55,60,To Downtown,60144
3551074,2022-11-29 18:06:41,60,To University of Manitoba,10600
3550832,2022-11-29 13:01:56,60,To Downtown,60105
3550637,2022-11-29 08:16:52,60,To Downtown,60150
3550215,2022-11-28 11:25:03,60,To University of Manitoba,61119
3548285,2022-11-24 15:56:47,60,To Downtown,61116
3548212,2022-11-24 14:30:15,60,To Downtown,60105
3548128,2022-11-24 13:08:57,60,To Downtown,60105
3548054,2022-11-24 11:15:52,60,To University of Manitoba,60096
3547937,2022-11-24 08:20:53,60,To Downtown,60152
3547911,2022-11-24 07:47:01,60,To University of Manitoba,10085
3547701,2022-11-23 15:51:16,60,To University of Manitoba,60246
3547039,2022-11-22 13:01:03,60,To Downtown,61254
3546969,2022-11-22 11:17:08,60,To University of Manitoba,60115
3546874,2022-11-22 08:15:38,60,To Downtown,60144
3546683,2022-11-21 16:18:43,60,To Downtown,60105
3546587,2022-11-21 14:33:26,60,To Downtown,60105
3546435,2022-11-21 10:12:14,60,To University of Manitoba,60097
3546328,2022-11-21 08:13:50,60,To Downtown,60144
3545473,2022-11-18 16:43:55,60,To Downtown,60140
3545401,2022-11-18 15:52:43,60,To University of Manitoba,60246
3545057,2022-11-17 20:32:19,60,To Downtown,60105
3544893,2022-11-17 15:55:56,60,To Downtown,60105
3544824,2022-11-17 14:31:17,60,To Downtown,60674
3544579,2022-11-17 08:06:55,60,To Downtown,60147
3544405,2022-11-16 15:45:59,60,To University of Manitoba,60243
3544109,2022-11-16 08:12:05,60,To Downtown,60146
3543893,2022-11-15 15:54:14,60,To Downtown,61254
3543886,2022-11-15 15:43:56,60,To University of Manitoba,60148
3543741,2022-11-15 13:12:56,60,To Downtown,61118
3543727,2022-11-15 12:56:12,60,To University of Manitoba,60096
3543545,2022-11-15 08:15:20,60,To Downtown,60146
3543320,2022-11-14 15:45:29,60,To University of Manitoba,60239
3543253,2022-11-14 14:32:46,60,To Downtown,60105
3543078,2022-11-14 10:09:24,60,To University of Manitoba,60125
3543077,2022-11-14 10:09:16,60,To University of Manitoba,60125
3543005,2022-11-14 08:13:38,60,To Downtown,60151
3541596,2022-11-10 08:08:40,60,To Downtown,60150
3541312,2022-11-09 15:42:17,60,To University of Manitoba,60246
3540605,2022-11-08 15:45:20,60,To University of Manitoba,60243
3539924,2022-11-07 15:43:57,60,To University of Manitoba,60239
3537932,2022-11-04 12:30:28,60,To Downtown,61116
3537495,2022-11-03 16:48:40,60,To University of Manitoba,60249
3537419,2022-11-03 15:58:09,60,To Downtown,60105
3537211,2022-11-03 13:03:14,60,To Downtown,61254
3537185,2022-11-03 12:44:39,60,To University of Manitoba,60125
3536692,2022-11-02 16:41:36,60,To University of Manitoba,10078
3536600,2022-11-02 15:42:55,60,To University of Manitoba,60155
3535591,2022-11-01 13:05:04,60,To Downtown,61254
3535307,2022-11-01 08:13:10,60,To Downtown,60127
3534854,2022-10-31 16:32:32,60,To University of Manitoba,60259
3534607,2022-10-31 14:26:34,60,To Downtown,61116
3531859,2022-10-28 08:06:00,60,To Downtown,60126
3531245,2022-10-27 13:03:06,60,To Downtown,60674
3531056,2022-10-27 09:39:30,60,To University of Manitoba,61114
3530975,2022-10-27 08:13:06,60,To Downtown,60151
3530645,2022-10-26 15:55:28,60,To University of Manitoba,60248
3530354,2022-10-26 11:07:32,60,To University of Manitoba,60116
3530191,2022-10-26 08:17:36,60,To Downtown,60146
3529983,2022-10-25 17:25:45,60,To Downtown,60105
3529566,2022-10-25 11:20:17,60,To University of Manitoba,60096
3528993,2022-10-24 14:30:44,60,To Downtown,61254
3528700,2022-10-24 08:14:07,60,To Downtown,60153
3527206,2022-10-21 17:05:07,60,To Downtown,61116
3527119,2022-10-21 16:16:52,60,To University of Manitoba,10078
3526432,2022-10-20 21:51:55,60,To Downtown,60120
3526037,2022-10-20 15:54:16,60,To Downtown,60105
3526016,2022-10-20 15:46:25,60,To University of Manitoba,60718
3525787,2022-10-20 12:55:34,60,To Downtown,61254
3525488,2022-10-20 08:16:12,60,To Downtown,60153
3525475,2022-10-20 08:08:34,60,To University of Manitoba,60123
3525145,2022-10-19 16:09:41,60,To University of Manitoba,60239
3524982,2022-10-19 14:32:50,60,To Downtown,61114
3524823,2022-10-19 12:30:49,60,To Downtown,61254
3524612,2022-10-19 08:27:50,60,To Downtown,60150
3524236,2022-10-18 15:53:11,60,To Downtown,61254
3524031,2022-10-18 13:13:31,60,To Downtown,61253
3524016,2022-10-18 13:00:09,60,To University of Manitoba,60096
3523842,2022-10-18 09:38:24,60,To University of Manitoba,60128
3523340,2022-10-17 15:39:35,60,To University of Manitoba,60242
3522901,2022-10-17 09:02:07,60,To University of Manitoba,60120
3521147,2022-10-14 14:34:50,60,To Downtown,60105
3520801,2022-10-14 08:13:52,60,To Downtown,60129
3520543,2022-10-13 15:59:47,60,To Downtown,61254
3520515,2022-10-13 15:45:21,60,To University of Manitoba,60148
3520435,2022-10-13 14:33:18,60,To Downtown,61254
3520389,2022-10-13 13:08:42,60,To Downtown,61114
3520388,2022-10-13 13:07:56,60,To Downtown,61117
3520387,2022-10-13 13:07:01,60,To Downtown,60105
3520386,2022-10-13 13:06:42,60,To Downtown,61253
