stop_id,count
10641,366
10159,307
10769,266
11039,265
50253,254
10491,234
10413,217
10638,200
10642,200
10771,184
10489,184
10835,183
10422,179
50252,171
10709,168
10407,155
10490,146
50251,146
10297,145
10639,142
10417,141
50250,126
10412,125
10735,123
10790,122
10624,119
10770,118
10414,116
10707,110
10408,108
10789,99
10411,95
50206,84
10415,82
50254,80
10423,59
10410,58
10421,56
10158,54
50249,54
10625,52
10420,51
10409,49
10418,44
10543,43
50255,36
10620,34
10406,33
10419,29
10583,22
10581,20
10404,20
10286,18
10405,17
10643,17
10582,15
10542,14
10403,13
50256,13
10401,12
50248,11
10801,11
10313,9
10398,9
20029,9
10644,8
10392,8
20039,7
10323,7
10390,6
20320,6
10399,6
10541,5
10389,5
20036,5
50257,4
20479,4
50261,4
50624,4
10393,4
10395,4
20033,3
10396,3
10315,3
10391,3
10321,3
10320,3
50258,3
50259,3
50041,3
10394,2
10289,2
50260,2
50139,2
50134,2
10400,2
50074,2
50107,2
10322,2
20030,2
20478,2
10387,2
10318,2
20032,2
20038,2
10293,1
10291,1
10290,1
50036,1
10309,1
10294,1
10311,1
10312,1
10314,1
50621,1
10310,1
10306,1
10305,1
50040,1
50141,1
10324,1
50135,1
50131,1
50129,1
50128,1
50127,1
10328,1
50095,1
50057,1
50042,1
10317,1
