stop_id,count
10611,348
61212,309
10641,272
11029,247
61206,241
61204,232
10639,183
60675,181
61213,175
60105,167
10159,167
10642,160
61202,159
61205,157
61215,153
60103,133
61210,133
61203,132
11033,126
11031,126
61207,120
11032,116
61216,110
61209,102
61211,101
11027,99
11034,95
61208,88
10615,68
10624,59
11028,58
61253,50
10157,46
60069,43
61218,35
61214,33
10612,33
11030,29
61104,25
60099,24
61255,20
60656,19
60124,18
61217,18
60095,17
10616,16
10625,16
60736,15
60067,15
10618,13
60120,11
60122,11
60093,10
60107,10
60118,9
60117,8
60092,7
10614,7
10134,6
60116,5
60065,5
60066,4
60115,3
10617,3
62042,2
